N,Tweet,Negative,Neutral,Positive
127,"Jaja pa que vean. Al pueblo lo mandan al seguro. Y no me vengan con el cuento que eso pasa porque somos capitalistas, ni la hija de fue al seguro cuando dio a luz, de hecho fue a un hospital en patilla que aún no se inaugura y que es MUCHO más caro y exclusivo.",1,,
128,3 horas en la misma pagina... comienza NICOLD!,1,,
129,"Doctor, ¿Es legal que te esposen por violar el decreto de movilidad?",,1,
130,Quiero ir a la yaz mañanay tengo 0 corillo 😢,1,,
131,Porque esto nunca me lo enseñaron en biología 🤔,,1,
132,Le mande la foto sin la carita,,1,
133,O sea que quieren? Que roben? #logicnotfound,1,,
134,"Siempre me pasa, tuve que dejarlo a las buenas 😢",1,,
135,"Su majestad está en un barco con $5,000 mensuales más todos las prebendas, nosotros no.",1,,
136,"Se incapacita, lanza amenazas, ordena secuestros y hasta piensa en volver ser presidente",1,,
137,En la banca en línea sale la fecha efectiva del cobro anual.,,1,
138,"Que Dr Lao explique en detalle el contrato de $200,000,000 millones de la CSS. Es urgente!",,1,
139,EXCELENTE ESTE SEÑOR ALCALDE SI DA LA CARA. MIS RESPETOS A EL.,,,1
140,Se caen los tronos y dominios El Rey de reyes ya viene. Es hora de arrepentimiento mundial,1,,
141,"Este año me quedé en casa, pero era como si estuviese en el Parque Porras por tus stories 🤣",,,1
142,Feliz año nuevo 2019 para todos,,,1
143,"Por si nos quedaban dudas, ese señor tiene AÚN dividido/revuelto a Panamá? A todo corrupto le llega su hora....",1,,
144,Consigna poner un GIF de una de tus películas favoritas y arroba a 5 tuiteros:,,1,
145,Cuanto extraño a cuando era Ministra del Cuando había conferencia de prensa decía: 6:00 p.m. y a las 6:05 ya sabíamos el informe Epidemiológico. Con el nuevo Ministro te dicen: 6:00 p.m. y son las 7 p.m. y aún no dicen nada🙈,1,,
146,"Y que dia ayer? Man, hay días que no me pongo bravo, solo me pongo triste de como es ser una minoría en Panamá. I'm tired.",1,,
147,"Montreal 1980 Duran-Leonard una guerra, prevaleciste, después de eso yo sigo hablando ingles fluido, Mi no guevet... 😁😁😁👍",1,,
148,Excelente mis respetos y esperando se le haga justicia mis saludos desde mi patria Panamá.,,,1
149,6 meses limpio y me siento feliz 🥰,,,1
150,Mientras tanto en Roma... Como debe ser: cada quien haciendo lo que piensa correcto sin tanto show.,,,1
151,"Reitero todo aquel que viole los parámetros de la cuarentena amparándose en un salvoconducto que sólo le habilita para ir a su trabajo, debe ser sancionado ejemplarmente, el salvoconducto eliminado y la empresa sancionada en caso de responsabilidad... 😠",1,,
152,man JAJAJA quiero que auron vuelva hacer las bromas telefónicas,,,1
153,Porque tanta gente te tiene block? 👀,,1,
154,No soy suficientemente gringo para saber como funciona su sistema. Pero damn. Lo que digo es que donde están los políticos. Que salgan. Hablen.,,1,
155,No les da curiosidad quienes guardan las fotos que suben en ig?🙄😂,,,1
156,la freidora de aire es el mejor invento creado para los webones como yo que les da pereza cocinar :),,,1
157,La cáscara debería tener prohibido hablar de ética e historia,1,,
158,"Así es la memoria selectiva de esta pseudo-diputada. No la puedo etiquetar porque me tiene bloqueado, payasa que es.",1,,
159,El dr hablando .... Nuestra mente:,,1,
160," Pues la hija, tomé algo porque mañana de seguro pierden los Yankees nuevamente y queden fuera. Si no tienen ni picheo, el único es Cole y aún le falta 1 día",,1,
161,🇵🇦 Dale RT para que el mundo sepa como gobierna,,1,
162,Costillas de cerdo a 20 palos 🤦‍♂️,1,,
163,Ruben para quien es ese mensaje. NADIE PUEDE DAÑAR SU OBRA.TRISTE LA PERDIDA DEL NORTE DE ESE LEGADO.,1,,
164,Como puedo comunicarme con usted.mi tel 69191377,,1,
165,"Ahh pero viste, ahora no me podré reír del call center pagado por el papá de los príncipes corruptos 🤣",,,1
166,"Si algo hay que reconocer que los casos que se han detectado y han presentado inquietud en la población han sido tirados para atrás e iniciado investigación, con Varela, ni Martinelli se hizo, a ellos le valía 2 pepinos la opinión del pueblo. Debemos seguir vigilantes... 🇵🇦",,1,
167,Preparense a las elecciones 2024 vamos a ver si ahora si pensamos y no nos dejamos de politiqueria,,1,
168,Y para que se necesita un baño con agua caliente en Cuba??🤣🤣,1,,
169,ESTE PAÍS ESTÁ HASTA LA VERGA!,1,,
170,"No se puede echar vino nuevo en vasijas viejas. Dios está demandando 4 cosas de la nación mientras no se obedezca las cosas irán de mal en peor Dios viene hablando desde el 2005 y los Cinco Gobiernos no obedecen. No es lo mucho que hagamos, es lo mucho que se obedezca.",1,,
171,Universidad Latina de Panamá: Solidaridad con los profesionales del futuro - ¡Firma la petición! via,,1,
172,"Si te quejas pero los sigues, eres parte del FUCKING problema.",1,,
173,Fabregas ahora mismo entre sus copartidarios y capitalinos.,,1,
174,"Estupidez de estas autoridades, ya el que no aprendió a cuidarse no lo va a aprender así que verán ustedes esto.",1,,
175,Esto trae una lágrima a mi ojo. Poderoso y conmovedor discurso del rapero en Atlanta anoche.,,,1
176,"Puta viejo cuidado con la goma, hice esa gracia hace meses y fue horrible",1,,
177,No estoy de acuerdo hijo. Wao.,,1,
178,"mi casa es una fabrica de comida 😂😂 man hoy hicieron tres leches, y 4 pizzas de diferentes ingredientes, vamos a ver que hacen mañana.",,,1
179,Yo con el primer shot de tequila 🤢,1,,
180,why? las tipas dicen “ten los ovarios” man se escucha tan asqueroso 😂,1,,
181,"Para un CORRUPTO siempre le molestará que lo cuestionen, por eso recurren a artimañas como call center para desviar la atención.",1,,
182,El tema está en que la gente no quiere hacer hacer caso!!!,1,,
183,¿Y si va y confirma ud mismo? Y de paso se queda por allá..,1,,
184,GRACIAS ALVARO ESE FUE PMAR TORRIJOS HERRERA .HUMILDE AHORA ESTOS POLÍTICOS CORRUPTOS QUIEREN DESVIAR LA ATENCION POR LA SITUACION POLITICA ACTUAL.SON INMORALES QUE SE PARE ESTE SEUDO PŔD Y FORMULENLE PREGUNTAS SOBRE TORRIJOS Y NO SABRIAN RESPONDEN.ASCO SR CAS...TI...ERO,1,,
185,Cualquier forma de maltrato a la mujer es inaceptable.,,,1
186,"Perdonen mi ignorancia, ¿pero de que sirve que el auto sea rociado?",,1,
187,Ya ando viendo que proximo coche comprarme 😹,,,1
188,"Cura además de ñaño, cínico.",1,,
189,Dejemos de criticar mucho y apoyemos mas,,,1
190,¿Qué le van a hacer? NADA! ¿ahí no está la diputada gritona que confesó que estuvo expuesta al covid19 y sigue sesiodo como si nada?,1,,
191,Tengo un fren q se casa y se tatua fast!!!,,1,
192,La última revelación de sobre el hospital modular está... intrigante. Tanto que... ibri hili,,1,
193,"Mister, espero que hayan ido a desayunar al ciruelo.",,1,
194,"Panamá está jugando bien, el juego es espacios cerrados está funciodo, me gusta que esté equipo esta tirando al marco...👍",,,1
195,"Después de mis pancakes decidí ver Infinity War y Endgame, back to back. Voy a cenar mientras veo Endgame.",,,1
196,"Tu derecho es meterte en vida ajena? Okay, capaz no tienes nada mejor que hacer. 🤷‍♂️",1,,
197,"Gente estúpida querida Pitonaizer... No saben que si una empresa así le va mal, crea un efecto dominó en la industria de la logística y de servicio. Además que allá afuera no dicen Copa, ni siquiera Motta, sino Panamá. 😑",1,,
198,"Creo que la trataron con cariño dada lo shady"" de la gestión de su esposo y el escándalo de Odebretch. ¿Por cierto y las estatuas del Parque Omar ya aparecieron? Saludos cordiales 😊""",1,,
199,Tu eres una piedra en el Zapato.!!! Jajajajajajaja,1,,
200,Me gusta escuchar cuando me dicen te vez mas gordo 🥰,,,1
201,"Tantos estudio y maestría, y la man sólo puede conseguir trabajo en la rosca...",,1,
202,"no jodo a nadie, nadie me jode, duermo tranquila, no le hago daño a nadie, tengo comida, mi familia, amigos, tengo salud, termido mi carrera universitaria: queria llegar a este punto de mi vida desde hace mucho tiempo 😍😍😍😍😍",,,1
203,Al parecer no está de acuerdo con mi respuesta.,,1,
204,"El pasiero dice una gran verdad.... Tic toc tic toc.... La mesa ya está servida, crisis social a la vista.",1,,
205,Toy que me bebo 3 cajas solo ya ya ya,,,1
206,"Man no puede ser posible que ya yo tenia mi trip BIEN CRIMINAL, pa el sabado y domingo y ya pagamos y todo y ahora disque se mantiene los domingos de cuarentena total 🤡 EN EL PECHO!",1,,
207,"Digo, si abren tocumen no es que vendrían los turistas corriendo...repita conmigo, pienso luego tweeteo....",,1,
208,"Yo: papa tengo mucha calor, voy a tomar mucha agua 🤣 Mi papa: en la refri hay una pinta agarrala. Yo: enserio papa, deja el relajo. Mi papa: si, fijate. 3 minutos despues",,,1
209,"Nombe ya con lo de la normalidad"" q pueden salir hombres y mujeres va a estar más parejo.""",,1,
210,Uff tweetazo!!! Ojalá la directiva del lo leyera!!!,,,1
211,"Que Dios siga bendiciendo y guardando tu vida, tu familia y tus bienes, que este cumpleaños sea tan o más especial que los anteriores...Panamá te quiere Cholo... HBD...🙏🎂🙏🎂🙏",,,1
212,Estoy clarito los pobre siempre sufriendo y los rico en mesa de Oro,1,,
213,me encanta esa gente que me habla claro... se merecen el mundo entero.,,,1
214,"Exacto, menos retórica MÁS acción.",,1,
215,Mitad de un dorito después.,,,1
216,"Xanax con el guaro, hace MARAVILLAS. 😂",,,1
217,Tengo sueño y no quiero seguir estudiando,1,,
218,No eres tu: ni whatsapp ni instagram estan permitiendo subir ni descargar fotos/videos/audio. Esperemos una solución pronto.,,1,
219,Doble de ansu en 2 minutos awe 🤣,,1,
220,"Hagamos un solo frente ante estas acciones, por Ley a los Jueces y Fiscales les está vedado estas acciones... 👍",,,1
221,Saúl Méndez: 'Fondos del Suntracs son para cubrir huelgas. No estamos preparados para el coronavirus',,1,
222,"Osea que las supuestas víctimas no tienen derechos a los recursos de anulación de un caso donde supuestamente se le viola la intimidad, un derecho humano consagrado por la Constitución y la convención sobre DDHH. Pues el estado en fallar en contra y violar el debido proceso...",1,,
223,"Puede ser, el tiempo nos dirá como termina todo.",,1,
224,Sandra viendo a la tigresa😂,,,1
225,"Nito cortizo, con mención especial a todos sus subalternos, órgano judicial y legislativo",,1,
226,Sin palabras Sobran los comentarios,,1,
227,Se imagi un concierto de bad bunny en fortnite,,,1
228,¿En serio le va a responder? Esa gente se ignora...,,1,
229,quien como yo que quiere ganarse la loteria sin comprar billete 🙂🤡,1,,
230,Imagínate vivir en un pueblito de Finlandia y perderte de este show...,,,1
231,"Doy fe de ello, no les dan el equipo necesario para su protección y están todos los días expuestos!!!",1,,
232,Nos cortaron con la misma tijera 🤣🤣,,,1
233,Y así quería ser presidente ese señor...,1,,
234,"yo me pregunto que es lo que pienzan que esta Pandemia pasará ahorita, pues no, olviden semana Santa, y olviden Politica que elecciones podra haber donde la jentes se están muriendo.",1,,
235,Cállate la boca cabron y chúpame la mañe 🖕,1,,
236,Dark estuvo tan buena que hay que verla mas de 1 vez,,,1
237,LLEGARÁN PRIMERO SEMÁFOROS QUE LAS VACUNAS,1,,
238,"Usted devenga $5,500. No nos falte el respeto.",1,,
239,Ya me estoy aburriendo de escuchar la misma vaina de todos... 🤭,,1,
240,"Para Dios no hay pecado chico ni grande, pecados es pecado. Todo van al mismo nivel. No podemos justificarnos delante de Dios. Cuando lo hacemos entramos en rebelión contra Dios como está el país ahora.",1,,
241,Dios es Grande 😍😍 escucho mis Oraciones,,,1
242,"Usted devenga $5,500. No nos falte el respeto.",1,,
243,¿Ese no es el canal de la corrupción y la cobardía? 🤭,1,,
244,"Amiga, en eso se equivoca, yo hago el Super de mi casa y si, la lista la preparo con mi esposa, pero al momento de comprar yo voy buscando los productos, mientras mi esposa conversa y hace relaciones públicas... 😁😁😁",1,,
245,"Ya vemos... $120k en sacrificio"" 👀""",,1,
246,#ÚLTIMAHORA Florida prohíbe consumo de alcohol en bares por récord de nuevos contagios #AFP,,1,
247,"Jaja, ¿Qué plástico señor One Two? Espero que le haya ido bien arreglando ese súper problema de vida o muerte. Saludos 😊",,1,
248,es whisky de malta única 😍-Doctor Hunt,,,1
249,explíquenme algunos no vemos felicidad en tener hijos... 🙄,1,,
250,Nunca hubo respeto con el tanque vacío ese 😂,,,1
251,Acabo de fregar a las 2 y pico jajaja,,,1
252,"nope amiixxxx,sal de ahí date cuenta",1,,
253,"No tenemos mascarillas para los médicos, pero tenemos drones? Fix the basics",1,,
254,Cien por ciento de acuerdo con usted Mis Respetos,,,1
255,Cuando piensas sacarle una cuenta de Tiktok a la Cáscara!? Hay un nicho con los niños allí!!,,1,
256,Supongo que los casinos están cerrados también 😒,1,,
257,mi papa y mi madrastra ni llegan... y son las 4:59 pm se los llevaron 🤦🏻‍♀️,1,,
258,EXCELENTE REPORTAJE DE PASAJE HISTORICO DESCONOCIDO POR MUCHOS GRACIAS.RUBEN.,,,1
259,Dónde queda eso y los precios?,,1,
260,"Yo cuando termino los tres que ando jugando voy pa' ese y Kingdom Hearts III. Ya después de esa lista, not sure o.o",,1,
261,"No brother, ahí dice textual viernes 24"". 24 cae jueves, pero ahora que lo dices también es confuso de esa manera. Pienso que la comunicación debe ser efectiva y no dar pie a que las personas tengan que descifrar el mensaje.""",1,,
262,"Saludos desde La Chorrera, junto a mi esposa Arelys Aguirre, ella va con Boston, yo con los Yanquis...👍",,,1
263,necesito que me regañen bien fockop pero tipo ponte a hacer tu anteproyecto que estas en lo último de tu carrera 😫😭,1,,
264,Tatuaje ❌ Piercings ❌ Matrimonio ❌ Divorcio ❌ Hijos ❌ Cirugías ❌ Huesos rotos ❌ Corazón roto ✔️ Arrestos ❌ Choque en auto ✔️ Bailar ✔️ Sonreír aunque te lleva la ✔️ Salir en TV ✔️ Viaje en pareja ✔️ Viaje con amigos ✔️ Noche de copas ✔️ Ver gente morir ✔️ ¿y ustedes? 👀,1,,
265,Mientras no obedescan lo que Dios demanda de la nación las cosas irán de mal en peor.,1,,
266,Ahora se ofenden por el error ortográfico 🤣🤦‍♂️,1,,
267,Mientras tanto en el mundo paralelo de RM/ZOOLAI/GÜISNIQ,,1,
268,Recularon! Ministerio de Seguridad cancela compra de municiones por $7.1 millones en medio de pandemia -,,1,
269,Se me quedo en la mente la payasada de ayer y como el problema es la aceptación general de su actitud problemática y rambulera. Es una negatividad y toxicidad que agota. Lamentable ver estas actitud de niño en un señor.,1,,
270,Después me levanto como a las 2 a.m.. :(,1,,
271,No dejes para mañana lo que puedes hacer hoy,,,1
272,Uno de ellos se cree doctor 🤣,,1,
273,Ahora se ofenden por el error ortográfico 🤣🤦‍♂️,1,,
274,"Si no se toma esas medidas de encerrarnos desde el 24 hasta el 28 y del 31 hasta el 4, si no nos encierran jamás va a parar el virus. Mire en Cuarentena y Ley seca El virus se mantenía 100 a 200 Hoy día de 1,500 a 2,900 Y no han hecho nada bueno en dejar 24 y 31 libre.",1,,
275,Mis respetos a un gran funcionario HONRADO DILIGENTE SUS PADRES DESDE EL CIELO LO ESTAN CUIDANDO .GRAN SER HUMANO .DE LOS POCOS DEL GOBIERNO CON CREDIBILIDAD Y PUEDE MIRAR DE FRENTE.,,,1
276,"¿Estado militar? Bueno cuando los policías tengan esas atribuciones, apaga y vámonos.",,1,
277,"Creo que acabo de ver la película más bizarra de Netflix se llama Pieles""""",,1,
278,Donde estan los Directores siempre el trabajador manual que da la cara y no se le reconoce el TC.En la foto donde hay un Director.Yo siempre di la cara,,1,
279,SIN ELECTRICIDAD NUEVAMENTE HOY CHUMICAL Y VERACRUZ 34 VECES EN LOS ULTIMOS 15 DIAS AUXILIOOOOOO,1,,
280,Faltaron en sus lindos gráficos el Punto de Coimeo y el Punto de Acoso...,1,,
281,"El hecho que tu creas en la creación por Dios me parece hermoso. Yo no creo eso, so tu argumento es inválido y no lo puedes imponer ante una nación con muchas ideologías.",1,,
282,Es un pecado mortal hacer algún tipo de oficio o trabajar con este clima 🥰🤩,,,1
283,Vaya manera de cerrar el 2020...,1,,
284,No se que da más pena: Ed*nar o la gente que sigue a ese payaso y le hace RT.,1,,
285,"El mejor casting de la historia, los actores jóvenes parecen hijos de los adultos. #DarkNetflix [Hilo]",,,1
286,Esta pandemia les dará una dosis de realidad a las promotoras. Yo solo estoy esperando que el mercado se caiga para aprovechar. 😊,,,1
287,En Panamá Oeste también queremos escucharlos... 👍,,,1
288,gracias amigaa 👏🏻💖 porfin gracias a Diosito 😍,,,1
289,Jajaja Maui eso pasaría en un país serio...,,1,
290,"Definitivamente, pero mas les tortura el sexo 🔥",1,,
291,Recularon! Ministerio de Seguridad cancela compra de municiones por $7.1 millones en medio de pandemia -,,1,
292,Cuando un ser inmortal usa mascarilla es porque la vaina está seria...,1,,
293,Necesito ver Capitana Marvel unas 100 veces más,,,1
294,"Le voy a preguntar al pastor griton, el si responde (siempre y cuando le regale el 10% de mis ingresos)",1,,
295,"llegó con hambre y cocinaron spaguetti, pero como a mi no me gusta mi papá me esta haciendo otra cosa 😩🥺 definitivamente tengo que encontrar a un hombres igual o mejor que papaa 😭",,,1
296,same. No aguanto la gente que anda saliendo. No puedo. No entienden. Complican todo. Me da mucha rabia.,1,,
297,"por 7 dolares el menú ejecutivo incluye la chicha, entrada y el postre.",,1,
298,y a la perra cantinera que todos los hombres del pueblo han tenido 🤦🏻‍♀️🤡,1,,
299,A ustedes no les da miedo abrir su banca en línea y ver su pobreza?😭😭,1,,
